0x800400F8,applied,player_helper_800400F8,player,<-player_sprite_free_8004016C
0x800418D0,applied,replay_camera_helper_800418D0,replay_camera,<-replay_camera_rob_back_win_near
0x80041E10,applied,eff_helper_80041E10,eff,<-eff_FrameUpdate
0x800420D0,applied,replay_camera_helper_800420D0,replay_camera,<-replay_camera_rob_back_win_near
0x8004211C,applied,game_helper_8004211C,game,<-game_StageInit_80046DA8
0x800421C8,applied,game_helper_800421C8,game,<-game_StageCleanup_80046EDC
0x80042E90,applied,game_helper_80042E90,game,<-game_Init_80046B44
0x800430E4,applied,calc_helper_800430E4,calc,<-calc_loc_mat_fw_8004A940
0x8004473C,applied,game_helper_8004473C,game,<-game_EffInit2_800474F0;<-game_EffInit_8004746C;<-game_EffStart_8004777C
0x800453E0,applied,channel_helper_800453E0,channel,<-channel_helper_A_80046A60;<-channel_helper_8_80046914
0x800456F0,applied,player_helper_800456F0,player,<-player_allocate_sprite_80045A50
0x8004574C,applied,snd_helper_8004574C,snd,<-snd_LoadBgm_800467B8
0x800457A0,applied,audio_helper_800457A0,audio,<-audio_chain_fade_load_80046048
0x8004668C,applied,snd_helper_8004668C,snd,<-snd_StopAll_80046AA0
0x80047BE0,applied,calc_helper_80047BE0,calc,<-calc_loc_mat_fw_8004A940
0x800486FC,applied,gnd_helper_800486FC,gnd,<-gnd_init_80041688;<-gnd_land_hit_char_die_main
0x8004881C,applied,gnd_helper_8004881C,gnd,<-gnd_land_hit_char_die_main;<-gnd_init_80041688
0x80048F58,applied,game_helper_80048F58,game,<-game_AnimStart_80047738;<-game_AnimInit_800474AC
0x80048FFC,applied,game_helper_80048FFC,game,<-game_AnimCleanup_800474D0;<-game_AnimStop_8004775C
0x8004954C,applied,efc_helper_8004954C,efc,<-efc_rob_type_dispatch_80049584
0x80049E1C,applied,snd_helper_80049E1C,snd,<-snd_StopAll_80046AA0
0x80049E4C,applied,game_helper_80049E4C,game,<-game_Init_80046B44
0x80049F4C,applied,game_helper_80049F4C,game,<-game_Init_80046B44
0x8004C388,applied,satan_helper_8004C388,satan,<-satan_line_draw_recursive_8004C1F4
0x80053694,applied,camera_helper_80053694,camera,<-camera_compute_fixed_point_matrices_80052D00
0x80054FDC,applied,snd_helper_80054FDC,snd,<-snd_SelectionCallback_80046A80
0x80055948,applied,calc_helper_80055948,calc,<-calc_loc_mat_fw_80055B60
0x80056CB8,applied,calc_helper_80056CB8,calc,<-calc_loc_mat_fw_80055B60
0x80058580,applied,calc_helper_80058580,calc,<-calc_loc_mat_fw_80055B60
0x8005B43C,applied,obj_helper_8005B43C,obj,->obj_SetReverbValue_80085EE4;->obj_SetControlData_80085E4C;->obj_ResetReverbMode_80085F98
0x8005BF78,applied,spu_helper_8005BF78,spu,->spu_TransferDirect_capped;->spu_TransferData_capped
0x8005C074,applied,tslglobalmemfree_helper_8005C074,tslglobalmemfree,<-tslGlobalMemFree_8005C2A8
0x8005C5A8,applied,tslglobalmemfree_helper_8005C5A8,tslglobalmemfree,<-tslGlobalMemFree_8005C2A8
0x8005C614,applied,file_helper_8005C614,file,<-file_LoadSoundData_80016CF8
0x8005C650,applied,mode_helper_8005C650,mode,<-mode_handler_29_StageLeafUpdate;<-mode_handler_03_NoOp;<-mode_handler_25_PostBattleSetup
0x800600C8,applied,mode_helper_800600C8,mode,<-mode_handler_33_RebootBegin
0x800602AC,applied,gpu_helper_800602AC,gpu,->gpu_LoadImage;->gpu_DrawSync
0x80060544,applied,mode_helper_80060544,mode,<-mode_handler_23_FrameDelay3
0x80060A68,applied,anim_helper_80060A68,anim,<-anim_emit_210009_with_setup_80061250;<-anim_emit_29000B_80061454;<-anim_emit_21000CD_80061658
0x80060B70,applied,eff_helper_80060B70,eff,<-eff_FrameUpdate
0x800611A4,applied,motion_helper_800611A4,motion,<-motion_dispatch_event_handler_80032854
0x8006133C,applied,motion_helper_8006133C,motion,<-motion_dispatch_event_handler_80032854
0x800613C8,applied,motion_helper_800613C8,motion,<-motion_dispatch_event_handler_80032854
0x800614E0,applied,motion_helper_800614E0,motion,<-motion_dispatch_event_handler_80032854
0x8006156C,applied,motion_helper_8006156C,motion,<-motion_dispatch_event_handler_80032854
0x80061710,applied,motion_helper_80061710,motion,<-motion_dispatch_event_handler_80032854
0x800617C8,applied,motion_helper_800617C8,motion,<-motion_dispatch_event_handler_80032854
0x800619A4,applied,motion_helper_800619A4,motion,<-motion_dispatch_event_handler_80032854
0x800619F0,applied,motion_helper_800619F0,motion,<-motion_dispatch_event_handler_80032854
0x80061A3C,applied,cpu_helper_80061A3C,cpu,<-cpu_check_special_move_input_80032C50
0x80061ACC,applied,motion_helper_80061ACC,motion,<-motion_dispatch_event_handler_80032854
0x80061C00,applied,motion_helper_80061C00,motion,<-motion_dispatch_event_handler_80032854
0x80061D74,applied,motion_helper_80061D74,motion,<-motion_dispatch_event_handler_80032854
