func_name,src_file,asm_lines,m2c_parses,m2c_compiles,permuter_score,local_draft,tier
func_8008AAD4,main.c,136,Y,Y,5750,Y,LARGE
func_8008ACD0,main.c,45,Y,Y,1735,Y,MEDIUM
func_8008AF9C,main.c,345,N,N,,N,EXPERT
func_8008B488,main.c,495,N,N,,N,EXPERT
func_8008BB24,main.c,171,Y,Y,10435,Y,EXPERT
func_8008BF04,main.c,173,Y,Y,6955,Y,EXPERT
func_8008C1E8,main.c,174,Y,Y,9960,Y,EXPERT
func_8008C464,main.c,807,N,N,,N,EXPERT
func_80046BF4,sound.c,112,Y,Y,3725,Y,LARGE
func_800470B0,sound.c,94,Y,Y,3790,Y,LARGE
func_800475A4,sound.c,104,Y,Y,2695,Y,LARGE
func_800477E8,sound.c,181,Y,Y,6085,Y,EXPERT
func_80047A90,sound.c,92,Y,Y,2635,Y,LARGE
func_80047BE0,sound.c,117,Y,Y,990,Y,LARGE
func_80080258,system.c,85,Y,Y,2625,Y,LARGE
func_80080390,system.c,82,Y,Y,2325,Y,LARGE
func_800804BC,system.c,90,Y,Y,1730,Y,LARGE
func_800806A4,system.c,67,Y,Y,4080,Y,MEDIUM
func_80080828,system.c,395,N,N,,N,EXPERT
func_80080DB0,system.c,176,Y,Y,5085,Y,EXPERT
func_80081030,system.c,196,Y,Y,5840,Y,EXPERT
func_800812FC,system.c,286,Y,Y,7920,N,EXPERT
func_80081BB0,system.c,98,Y,Y,3575,Y,LARGE
func_80082000,system.c,283,Y,Y,,N,EXPERT
func_8008241C,system.c,184,Y,Y,5320,Y,EXPERT
func_800826CC,system.c,71,Y,Y,1575,Y,MEDIUM
func_800401CC,text1a.c,83,Y,Y,2150,Y,LARGE
func_80040304,text1a.c,76,N,N,,Y,MEDIUM
func_80040594,text1a.c,232,Y,Y,3610,N,EXPERT
func_800408F8,text1a.c,105,Y,Y,5255,Y,LARGE
func_80040B44,text1a.c,102,Y,Y,4060,Y,LARGE
func_80040CB8,text1a.c,40,Y,Y,1140,Y,MEDIUM
func_80040D48,text1a.c,287,N,N,,N,EXPERT
func_80041188,text1a.c,136,Y,Y,5135,Y,LARGE
func_80041688,text1a.c,97,Y,Y,340,Y,LARGE
func_80041988,text1a.c,91,Y,Y,2585,Y,LARGE
func_80041AC8,text1a.c,82,Y,Y,3845,Y,LARGE
func_80041BF4,text1a.c,144,Y,Y,6160,Y,LARGE
func_80041EB0,text1a.c,151,Y,Y,1995,Y,EXPERT
func_800422BC,text1a.c,118,Y,Y,5290,Y,LARGE
func_80042504,text1a.c,108,N,N,,Y,LARGE
func_80042684,text1a.c,132,Y,Y,8595,Y,LARGE
func_80042874,text1a.c,135,Y,Y,7545,Y,LARGE
func_80042A88,text1a.c,128,Y,Y,6165,Y,LARGE
func_80042C80,text1a.c,134,Y,Y,4525,Y,LARGE
func_80042FA0,text1a.c,83,Y,Y,3675,Y,LARGE
func_800430E4,text1a.c,92,Y,Y,8205,Y,LARGE
func_800432A0,text1a.c,66,Y,Y,2625,Y,MEDIUM
func_80043454,text1a.c,529,Y,Y,26725,N,EXPERT
func_80043BD0,text1a.c,45,Y,Y,675,Y,MEDIUM
func_80043C7C,text1a.c,48,Y,Y,655,Y,MEDIUM
func_80043D34,text1a.c,45,Y,Y,675,Y,MEDIUM
func_80043DE0,text1a.c,48,Y,Y,655,Y,MEDIUM
func_80044170,text1a.c,76,Y,Y,2975,Y,MEDIUM
func_8004428C,text1a.c,64,Y,Y,1590,Y,MEDIUM
func_80044378,text1a.c,80,Y,Y,3870,Y,MEDIUM
func_8004473C,text1a.c,53,Y,Y,950,Y,MEDIUM
func_80044800,text1a.c,214,Y,Y,12525,N,EXPERT
func_80044B30,text1a.c,87,Y,Y,2620,Y,LARGE
func_80044CCC,text1a.c,72,Y,Y,3675,Y,MEDIUM
func_80045294,text1a.c,90,Y,Y,2865,Y,LARGE
func_800453E0,text1a.c,83,Y,Y,4075,Y,LARGE
func_80045878,text1a.c,117,Y,Y,3215,Y,LARGE
func_80045B68,text1a.c,341,Y,Y,20770,N,EXPERT
func_800460E4,text1a.c,267,N,N,,N,EXPERT
func_800466C0,text1a.c,55,N,N,,Y,MEDIUM
